	URL	Anime Section	Description
24	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	When Pain's Assault on Konoha begins, Hinata joins her teammates in defending the village. Pain later destroys the village, but Hinata is saved from harm by Katsuyu. Hinata's bodyguard, Kō Hyūga, is not as fortunate, but he refuses Hinata's attempts to find him medical attention. Hinata watches as Naruto fights Pain alone, initially obeying Katsuyu's and Kō's instructions not to interfere. After Naruto is captured by Pain's Deva Path, however, Hinata does not hesitate to come to his defence, forcing the Deva Path away from him. Naruto pleads for her to run away, telling her that she can't defeat Pain. Despite knowing this already, she tells Naruto that she will fight Pain because, after years of watching him and improving herself by following his example, Hinata loves Naruto and will do what she can to protect him.
25	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	Hinata starts attacking the Deva Path with her Gentle Step Twin Lion Fists. In the anime, she succeeds in removing some of the black receivers that restrains Naruto and even hitting the Deva Path, but the outcome remains the same: the Deva Path quickly defeats her with Shinra Tensei. The Deva Path then stabs her with another black receiver, leading Naruto to believe Hinata has been killed and thus causing him to enter a version 2 form. Hinata, however, is still alive, and when Team Guy finds her, Neji gets her immediate medical attention. Sakura Haruno heals Hinata's injuries, allowing her to tearfully join in the village's celebration when Naruto returns after defeating Pain.
26	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	News reaches Konoha of Sasuke's recent activity with Akatsuki, specifically his attack against Kumogakure-ninja. Hinata and the rest of the Konoha 11 (while Naruto was absent) decide that Sasuke can no longer be allowed to implicate Konoha in his criminal deeds and they resolve to personally kill him. When Naruto returns to Konoha after learning of this and having his own confrontation with Sasuke, he requests that they leave dealing with Sasuke to him.
27	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	In the anime, Hinata was present at the Hyūga clan meeting convened by her father, Hiashi. After hearing Hiashi declaration that Neji was to lead the clan's forces during the Fourth Shinobi World War, she was quite shocked. After the meeting she overheard Kō contest with her father about his decision, reminding him of how much Hinata had grown and that she was from the main house. Hiashi, however, told him that it wasn't because he lacked faith in Hinata but because she still lacked enough self-confidence to lead the shinobi during war.[52]
28	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	Later, Hinata met with Kurenai and was told that several members of the Konoha 11 have encountered Naruto while he traveled to the Land of Lightning. When Hinata was summoned to a meeting with the Fifth Hokage, she was hopeful that she would also get sent on such a mission. After much searching for where exactly the Hokage was, Hinata was disappointed to learn that the Hokage only wanted to discuss Neji's selection to lead the Hyūga during the approaching Fourth Shinobi World War. She was later invited to Yakiniku Q to have dinner with other girls in her age group. The dinner's conversation turned to Naruto, during which Hinata realised that she doesn't need to go on a mission with Naruto to be able to help him.
29	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	When the Fourth Shinobi World War begins, Hinata is placed alongside Neji in the Second Division. Their entire division is sent to intercept a large segment of the White Zetsu Army, which Neji and Hinata join forces in attacking after Kitsuchi unearths the Zetsu army. Although the Zetsus suffer heavy casualties, their numbers are too great and the fight becomes one of attrition. After a day of fighting, Neji collapses from exhaustion, at which point Hinata takes responsibility for monitoring the Second Division's perimeter with her Byakugan. Shino encourages her not to over-exert herself, but she assures him that she doesn't mind since she's fighting to keep Naruto safe.
30	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	In the anime, Hinata, Kiba, and Shino investigate a possible breach of the Allied Shinobi Forces' perimeter. They discover several White Zetsus within Allied territory, and in the fight to destroy them Hinata is knocked unconscious. One Zetsu impersonates her and successfully pretends to be her for a time using its knowledge of her feelings for Naruto, but Kiba and Shino eventually discover it and, after defeating it, rescue Hinata.[53] On the second day of the war, Hinata helps members of the Second Division escape the area of Neji's fight with the reincarnated Kidōmaru. She later finds Neji unconscious with Kiba and Akamaru. Hinata examines their bodies with her Byakugan and discovers that their chakra flow has completely stopped. She reports this to Inoichi Yamanaka, who is able to use the information to help Naruto save them. Hinata tearfully hugs Neji when he wakes up.[54]
31	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	With all levels of the Allied Shinobi Forces infiltrated by disguised White Zetsus, Hinata and the others are placed on high alert due to periodic surprise attacks by what they thought were their allies. When Naruto reaches the Second Division's location he starts identifying and defeating the disguised Zetsus, including three that attempt to attack Hinata. Although Neji is suspicious that Naruto may also be a White Zetsu, Hinata insists it's the real Naruto, which she can tell by looking in his eyes. Hinata apologises to Naruto for the suspicion he's receiving and regrets that he is still needing to save her when she's the one trying to fight for him. Naruto reassures her that she's strong enough to look after herself; he's merely returning the favour for all the times in the past she's helped him. She silently thanks him as he leaves.
32	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	Hinata and the rest of the Allied Shinobi Forces are sent to assist Naruto in his battle with the Ten-Tails. Recognising how crucial Naruto is to the war's victory, Hinata, Neji, and Hiashi join forces to block attacks directed at him. Neji and Hiashi quickly become preoccupied protecting other Allies from the Ten-Tails too, leaving only Hinata to defend Naruto. The Ten-Tails fires several volleys of wood projectiles at him, which Hinata uses her body to defend him from. Neji in turn uses his body to defend her and is mortally wounded because of it. Watching Hinata crying for him as he dies, Neji observes that Hinata was willing to die for Naruto, which he uses as evidence that Naruto is responsible for more lives than his own. He then dies from his injuries.
33	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	Naruto is disheartened by the deaths of Neji and others in the Alliance. When he starts to show signs of giving up, Hinata brings him back senses by reminding him of his vow to not let any of his friends die. Although Neji may be dead, he will live on so long as others continue the fight that he gave his life for. Therefore, Naruto must stay true to the creed he has been using for so long and that she has long since adopted for herself: to not give up. Naruto's resolve is renewed and he thanks her for standing by his side. He then takes her hand and transfers some chakra to her, giving her a version 1-like shroud that protects her and augments her attacks against the Ten-Tails.
34	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	As Naruto leads the Alliance's attacks against the Ten-Tails, his arm becomes dislocated. Hinata sets it back in place, allowing him to remove the Ten-Tails from the control of Madara and Obito Uchiha. The extended fighting eventually starts to tire Naruto out, so Hinata rallies a defence around him while Sakura Haruno heals him. She later joins Team 8's attack on the Ten-Tails' clones: she starts performing the Eight Trigrams Sixty-Four Palms on a Ten-Tails mini-clone, but stumbles midway and fears she may not be able to complete it. By thinking of Neji and Naruto, she finds the resolve to follow through to its end and defeats the clone. She then prepares to use her Gentle Step Twin Lion Fists.
35	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	When the Ten-Tails suddenly disappears from the battlefield, Sakura asks what Hinata saw with her Byakugan. Hinata explains that she saw the Ten-Tails being absorbed into Obito, meaning he has become its jinchūriki. Because of the abilities this grants Obito, Hinata and most of the rest of the Alliance stand no chance against him and must leave the fighting to others such as Naruto and Sasuke. But Hinata remains alert for opportunities to contribute and pitches in when they emerge, first by joining the rest of the Konoha 11 in hitting Obito with one of Naruto's Rasengan, and then by assisting the rest of the Alliance with pulling the tailed beasts' chakra from Obito's body.
36	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	With Obito defeated, Naruto goes off to fight Madara, leaving the Allied Shinobi Forces to fight a final Zetsu. As they struggle against the Zetsu, Kiba senses Naruto's return to their battlefield and Hinata seeks him out with her Byakugan. She becomes horrified as she notices that his heartbeat is slowing and runs to him to provide assistance, but she collapses from exhaustion midway and can only plead Neji to help Naruto. When Madara cast the Infinite Tsukuyomi upon the world, Hinata alongside most people are immobilised by the genjutsu and restrained by the Ten-Tails' roots.
37	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Tenchi Bridge Reconnaissance Mission	While trapped, Hinata dreams of sitting on a park bench with Naruto while they are watched in secret by Neji and Hanabi. Naruto and Sasuke eventually release the Infinite Tsukuyomi, freeing Hinata and the rest of the world and thus ending the Fourth Shinobi World War. They all return to Konoha to bury the dead from the war, with Team Kurenai and Naruto paying their respects at the mass funeral.
38	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	In the anime, Kakashi Hatake recruits Team 8's members to help him investigate one of Orochimaru's recently-discovered bases. During their investigation, they are attacked by some of Orochimaru's subordinates, Team Guren. When Kiba struggles against Nurari, Hinata switches with him, using her Byakugan to navigate through the smoke Nurari employs. The team's leader, Guren, soon traps Team 8 in her Jade Crystal Labyrinth Technique. Although the labyrinth's reflective surface makes it difficult for her to focus with her Byakugan, Hinata is able to locate Guren and defeat one of her Jade Crystal Clones, but is then encased in a crystal prison, where she remains until found by Team 7.
39	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	When they come across the Three-Tails, Hinata is assigned to a team tasked with sealing it. They are interrupted by Team Guren before they can complete the Four-Corner Sealing Barrier, prompting Konoha to recall them and send Anbu to seal the Three-Tails in their place.
40	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	Teams 7 and 8 are combined into an Eight Man Squad with the mission of locating Sasuke or Itachi Uchiha. When they split up to search, Naruto, because he's a target of Akatsuki, is given a protective escort in the form of Hinata, Yamato, and Bull. Their group is soon confronted by Kabuto Yakushi, who offers them intel on Akatsuki and its members. Noticing something strange about Kabuto, Hinata examines him with her Byakugan and discovers that a third of his body has been taken over by Orochimaru's remains. Kabuto escapes and they later regroup with the rest of the team. Kiba is able to find Sasuke's trail, which they begin following.
41	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	When Pain's Assault on Konoha begins, Hinata joins her teammates in defending the village. Pain later destroys the village, but Hinata is saved from harm by Katsuyu. Hinata's bodyguard, Kō Hyūga, is not as fortunate, but he refuses Hinata's attempts to find him medical attention. Hinata watches as Naruto fights Pain alone, initially obeying Katsuyu's and Kō's instructions not to interfere. After Naruto is captured by Pain's Deva Path, however, Hinata does not hesitate to come to his defence, forcing the Deva Path away from him. Naruto pleads for her to run away, telling her that she can't defeat Pain. Despite knowing this already, she tells Naruto that she will fight Pain because, after years of watching him and improving herself by following his example, Hinata loves Naruto and will do what she can to protect him.
42	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	Hinata starts attacking the Deva Path with her Gentle Step Twin Lion Fists. In the anime, she succeeds in removing some of the black receivers that restrains Naruto and even hitting the Deva Path, but the outcome remains the same: the Deva Path quickly defeats her with Shinra Tensei. The Deva Path then stabs her with another black receiver, leading Naruto to believe Hinata has been killed and thus causing him to enter a version 2 form. Hinata, however, is still alive, and when Team Guy finds her, Neji gets her immediate medical attention. Sakura Haruno heals Hinata's injuries, allowing her to tearfully join in the village's celebration when Naruto returns after defeating Pain.
43	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	News reaches Konoha of Sasuke's recent activity with Akatsuki, specifically his attack against Kumogakure-ninja. Hinata and the rest of the Konoha 11 (while Naruto was absent) decide that Sasuke can no longer be allowed to implicate Konoha in his criminal deeds and they resolve to personally kill him. When Naruto returns to Konoha after learning of this and having his own confrontation with Sasuke, he requests that they leave dealing with Sasuke to him.
44	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	In the anime, Hinata was present at the Hyūga clan meeting convened by her father, Hiashi. After hearing Hiashi declaration that Neji was to lead the clan's forces during the Fourth Shinobi World War, she was quite shocked. After the meeting she overheard Kō contest with her father about his decision, reminding him of how much Hinata had grown and that she was from the main house. Hiashi, however, told him that it wasn't because he lacked faith in Hinata but because she still lacked enough self-confidence to lead the shinobi during war.
45	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	Later, Hinata met with Kurenai and was told that several members of the Konoha 11 have encountered Naruto while he traveled to the Land of Lightning. When Hinata was summoned to a meeting with the Fifth Hokage, she was hopeful that she would also get sent on such a mission. After much searching for where exactly the Hokage was, Hinata was disappointed to learn that the Hokage only wanted to discuss Neji's selection to lead the Hyūga during the approaching Fourth Shinobi World War. She was later invited to Yakiniku Q to have dinner with other girls in her age group. The dinner's conversation turned to Naruto, during which Hinata realised that she doesn't need to go on a mission with Naruto to be able to help him.
46	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	When the Fourth Shinobi World War begins, Hinata is placed alongside Neji in the Second Division. Their entire division is sent to intercept a large segment of the White Zetsu Army, which Neji and Hinata join forces in attacking after Kitsuchi unearths the Zetsu army. Although the Zetsus suffer heavy casualties, their numbers are too great and the fight becomes one of attrition. After a day of fighting, Neji collapses from exhaustion, at which point Hinata takes responsibility for monitoring the Second Division's perimeter with her Byakugan. Shino encourages her not to over-exert herself, but she assures him that she doesn't mind since she's fighting to keep Naruto safe.
47	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	In the anime, Hinata, Kiba, and Shino investigate a possible breach of the Allied Shinobi Forces' perimeter. They discover several White Zetsus within Allied territory, and in the fight to destroy them Hinata is knocked unconscious. One Zetsu impersonates her and successfully pretends to be her for a time using its knowledge of her feelings for Naruto, but Kiba and Shino eventually discover it and, after defeating it, rescue Hinata. On the second day of the war, Hinata helps members of the Second Division escape the area of Neji's fight with the reincarnated Kidōmaru. She later finds Neji unconscious with Kiba and Akamaru. Hinata examines their bodies with her Byakugan and discovers that their chakra flow has completely stopped. She reports this to Inoichi Yamanaka, who is able to use the information to help Naruto save them. Hinata tearfully hugs Neji when he wakes up.
48	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	With all levels of the Allied Shinobi Forces infiltrated by disguised White Zetsus, Hinata and the others are placed on high alert due to periodic surprise attacks by what they thought were their allies. When Naruto reaches the Second Division's location he starts identifying and defeating the disguised Zetsus, including three that attempt to attack Hinata. Although Neji is suspicious that Naruto may also be a White Zetsu, Hinata insists it's the real Naruto, which she can tell by looking in his eyes. Hinata apologises to Naruto for the suspicion he's receiving and regrets that he is still needing to save her when she's the one trying to fight for him. Naruto reassures her that she's strong enough to look after herself; he's merely returning the favour for all the times in the past she's helped him. She silently thanks him as he leaves.
49	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	Hinata and the rest of the Allied Shinobi Forces are sent to assist Naruto in his battle with the Ten-Tails. Recognising how crucial Naruto is to the war's victory, Hinata, Neji, and Hiashi join forces to block attacks directed at him. Neji and Hiashi quickly become preoccupied protecting other Allies from the Ten-Tails too, leaving only Hinata to defend Naruto. The Ten-Tails fires several volleys of wood projectiles at him, which Hinata uses her body to defend him from. Neji in turn uses his body to defend her and is mortally wounded because of it. Watching Hinata crying for him as he dies, Neji observes that Hinata was willing to die for Naruto, which he uses as evidence that Naruto is responsible for more lives than his own. He then dies from his injuries.
50	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	Naruto is disheartened by the deaths of Neji and others in the Alliance. When he starts to show signs of giving up, Hinata brings him back senses by reminding him of his vow to not let any of his friends die. Although Neji may be dead, he will live on so long as others continue the fight that he gave his life for. Therefore, Naruto must stay true to the creed he has been using for so long and that she has long since adopted for herself: to not give up. Naruto's resolve is renewed and he thanks her for standing by his side. He then takes her hand and transfers some chakra to her, giving her a version 1-like shroud that protects her and augments her attacks against the Ten-Tails.
51	https://naruto.fandom.com/wiki/Hinata_Hy%C5%ABga	Akatsuki Suppression Mission	As Naruto leads the Alliance's attacks against the Ten-Tails, his arm becomes dislocated. Hinata sets it back in place, allowing him to remove the Ten-Tails from the control of Madara and Obito Uchiha. The extended fighting eventually starts to tire Naruto out, so Hinata rallies a defence around him while Sakura Haruno heals him. She later joins Team 8's attack on the Ten-Tails' clones: she starts performing the Eight Trigrams Sixty-Four Palms on a Ten-Tails mini-clone, but stumbles midway and fears she may not be able to complete it. By thinking of Neji and Naruto, she finds the resolve to follow through to its end and defeats the clone. She then prepares to use her Gentle Step Twin Lion Fists.
