Content	Keywords
Interview with Yellow Panther: From Normal Gamer to Web3 Gaming Maestro Close Subscribe to Updates Get the latest creative news from FooBar about art, design and business. What's Hot Institutional Interest in Bitcoin ETFs Surges as Market Dynamics Shift August 19, 2024 MIMOS Berhad Partners with Worldcoin Foundation and MyEG August 19, 2024 Manchester City and OKX Launch ‘Unseen City: Echoes of Blue’ Virtual Escape Room August 12, 2024 Facebook Twitter Instagram Home About Web3 NFT Blockchain Gaming Crypto Subscribe Facebook Twitter TikTok Instagram Home » Gaming » Interview with Yellow Panther: From Normal Gamer to Web3 Gaming Maestro Gaming Interview with Yellow Panther: From Normal Gamer to Web3 Gaming Maestro By Shafadzlin Ahmad Shaharir March 17, 2024 Updated: March 19, 2024 No Comments 3 Mins Read Share Facebook Twitter LinkedIn Pinterest Email Interview with Yellow Panther: From Normal Gamer to Web3 Gaming Maestro Some people love action games, others prefer simulation games	blockchain, gaming, web3, games, instagram, tiktok, nft
But for Yellow Panther, also known as YP, his passion lies in blockchain games, or as it’s commonly known, Web3 gaming. Yellow Panther, a young man in his early 20s, has turned his love for Web3 games into his full-time occupation	blockchain, gaming, web3, games
Here’s our interview for Stories from the Community this week, featuring the one and only, Yellow Panther . From Pokemon to League of Legends Yellow Panther’s gaming journey began in his childhood when his parents bought him games like Super Mario and Pokemon for his Nintendo Game Boy	gaming, games, game
“I remember gaming at a very young age…and I fell in love with gaming ever since,” he reminisces. Double kill @MAYGnft pic.twitter.com/qXvYVQEfFo — yellowpanther.moca 💎 (@yellowpantherx) January 17, 2024 While Pokemon captured his heart early on, it was the multiplayer online battle arena game, League of Legends, that consumed his high school years	gaming, game
“I would play that game religiously…trying to rank up and compete in tournaments,” he recalls. "I went into Web3 gaming by accident through Axie Infinity in May 2021." Yellow Panther A Serendipitous Entry Yellow Panther’s entry into Web3 gaming was accidental, sparked by a friend’s revelation about earning money through gaming	gaming, web3, game
“It was a funny story,” he shares. “I went into Web3 gaming by accident through Axie Infinity in May 2021.” With the Dookey Dash young king 👑 @orangie pic.twitter.com/N5E6YnvDOt — yellowpanther.moca 💎 (@yellowpantherx) February 23, 2024 Fast forward three years, and Yellow Panther has become a Web3 gaming influencer with over 100,000 followers	gaming, web3
“I had never even thought of becoming an influencer,” he admits, “but it has been a wild journey.” "The best part is waking up every day, doing things that I love. Creating content, playing games, at my own time and expense." Yellow Panther His journey as a Web3 gaming influencer has taken him around the world, attending events like 3XP and Token2049 Singapore	gaming, content, web3, games
“The best part is waking up every day, doing things that I love,” he reflects. Wildcard Enthusiast? When asked about his favorite Web3 game, Yellow Panther praises Wildcard by Playful Studios for its gameplay and graphics	web3, game
“A really great team that knows what they are doing. Super excited for them,” he says	content
Welcome to Wildcard pic.twitter.com/NUx5k2LaCR — WILDCARD™ (@PlayWildcard) December 16, 2023 For Yellow Panther, Web3 games offer true asset ownership and transparency, distinguishing them from Web3 games. “In Web3, you can freely trade your rare items, this is true asset ownership,” he explains	web3, games
Tips for Newcomers He also offers tips for newcomers interested in exploring blockchain gaming. “Check out X and YouTube,” he suggests, “it’s a great way to discover new Web3 games from your favorite content creators!” Yellow Panther actively shares updates about Web3 gaming on X	blockchain, gaming, content, web3, games, youtube
Metasports Announces YellowPanther as Newest Creator Partner for Web3 Gaming Content | BitPinas Skip to content Home News Articles About Contact BitPinas Crypto News Philippines Facebook Twitter Telegram Linkedin AI Crypto Event Feature Fintech Industry Jobs Learn Op-Ed Policy Newsletter Videos PR Newswire Search BitPinas Crypto News Philippines Toggle Menu Advertisement Metasports Announces YellowPanther as Newest Creator Partner for Web3 Gaming Content By Shiela Bertillo 2023-03-13 Subscribe to our newsletter! [newsletter_form type=”minimal”] Web3 gaming content creator YellowPanther has joined Metasports as the newest Creator Partner. The partnership aims to provide YellowPanther with specialized support areas such as content production, deal management, and game due-diligence	gaming, content, creator, web3, game
Metasports’ focus is to empower creators and develop long-term partnerships based on mutual trust and collaboration. Web3 gaming content creator YellowPanther (@yellowpantherx) is announced to be the newest Creator Partner to join the creator management portfolio of Metasports, media house and agency for Gaming and Esports	gaming, content, creator, web3
The creator partnership initiatives of Metasports focus on “building the business and its foundation around the creator so that they can focus on their craft and delivery of content.” In a statement, prior to the announcement,  the two have been working together in stealth for to determine YellowPanther’s needs and next steps as a creator to continue growing with common goals in mind. “I am really excited to be working with a team that knows their stuff in both web2 and web3 gaming	gaming, content, creator, web3
I am very careful when choosing creator agencies that represents me. Metasports has shown me their capabilities and capacity while I worked with them in the past months	creator
I believe they will be able to help me reach a new level as a rising content creator in web3 gaming. Watch out, I’m ready to shock the world,” YellowPanther stated	gaming, content, creator, web3
Advertisement Accordingly, Metasports assured that it will leverage their extensive industry experience to help YellowPanther in his career and deliver the support he needs to maximize his potential. We are thrilled to announce that @yellowpantherx is the newest Creator Partner in our creator management portfolio! 🤝 We've been working with him in stealth for some time to determine what he needs and the pivotal next steps as we continue to attack our common mission	creator
https://t.co/biucNk8XeI pic.twitter.com/lwJyA4agFK — Metasports (@MetasportsGG) March 9, 2023 “The partnership will give him access to Metasports’ specialized support areas such as content production, deal management, and game due-diligence, plus awesome teammates,” they shared. Metasports emphasized that their focus is to empower creators and develop long-term partnerships based on mutual trust and collaboration	content, game
“Metasports is not an exclusive agency, rather, the management firm encourages and connects Creator Partners like YellowPanther to agencies and marketing groups who need distribution in the flourishing creator economy,” they highlighted. Metasports, or “Metaverse Esport,” is an organization, content hub, and media agency covering the esports and the web3 gaming industry	gaming, content, creator, web3
It was launched in late 2021 by SEAesport, an esport broadcasting team in South East Asia. I am really excited to be working with a team that knows their stuff in both web2 and web3 gaming	gaming, web3
Web3 Gaming in Asia is still very new and we will be targeting the growth in this region 💪🏼 — YellowPanther 💎 (@yellowpantherx) March 9, 2023 The first creator partner of Metsaports is XtoEarn content creator, Level Up Gaming Guild founder, and pioneering web3 PH face, Kookoo CryptoTV. He was on boarded last November 2022, their aim for their collaboration is to develop a new blueprint for web3 content creator management, bridging professionalism from web2 standards to the next-gen profile of web3 gaming content creators	gaming, content, creator, web3
(Read more: Kookoo is First Creator Partner with Metasports ) Last month, Metasports became a co-owner of  Philippine-based esports organization Oasis Gaming  to support Oasis Gaming’s mission as the destination for gaming and esports communities in the Philippines and beyond.  (Read more: Oasis Gaming Welcomes Metasports as Co-Owner to Strengthen Philippine Esports Communities ) In January, PH-based data aggregator BlockchainSpace (BSPC) acquired the majority of IP House Metasports. This article is published on BitPinas: Metasports Announces YellowPanther as Newest Creator Partner for Web3 Gaming Content Disclaimer: BitPinas articles and its external content are not financial advice	gaming, content, creator, web3
The team serves to deliver independent, unbiased news to provide information for Philippine-crypto and beyond. Post Tags: # MetaSports # Yellow Phanter # YellowPanther Shiela Bertillo Shiela, a senior reporter at BitPinas, has been a part of the team since 2021	content
She specializes in local web3 news, all while crafting feature articles and delivering global crypto industry updates. Shiela holds a degree in broadcasting from the Polytechnic University of the Philippines	web3
