Content	Keywords
3XP Gaming Expo Announces Full Lineup of Web3 Exhibitors |
                                    Newswire Products Press Release Distribution Press Release Optimizer Media Suite Media Database Media Pitching Media Monitoring Analytics Media Room Pricing Customer Stories Resources Education Blog PR & Earned Media Planner For Journalists RSS Feeds Support Newsroom Log In Sign Up 3XP Gaming Expo Announces Full Lineup of Web3 Exhibitors Press Release • May 25, 2023 3XP Will Feature Live Esports Tournaments, Immersive Gameplay Booths and Networking Opportunities for Web3 Game Studios, Investors, and Gamers LOS ANGELES, May 25, 2023 (Newswire.com)
        - The 3XP Web3 Gaming Expo powered by Game7 takes place at the Pasadena Convention Center in California June 8-9, bringing together a community of gamers, developers, content creators, and investors. At 3XP, 60,000 square feet will be dedicated to immersive gameplay booths, live esports competitions, and panels consisting of web3 gaming thought leaders	web3 gaming, content creator, gaming, Web3, gamers, content
The Esports Arena sponsored by Brave will boast a 5v5 gaming setup on stage, shoutcaster talent providing live commentary, and a community area with 20 gaming PCs for walk-up playtests. Twitch streamers Yassuo (100 Thieves), BOBQIN (Team Liquid), Mang0 (Cloud9), Meteos (Cloud9), and Taki (Nouns Esports) will be competing against popular web3 content creators, including Brycent, Orangie, ClassyCrypto, Spike, CryptoStache, XBorg, Yellow Panther, and Alliestrasza	content creator, Yellow Panther, gaming, Web3, content
The Arena will be powered by Community Gaming 's instant payment infrastructure, facilitating tournament payouts and quest rewards. 3XP will feature dozens of exhibitors, including: Horizon's Sequence is a prime sponsor and exhibitor at 3XP and attendees who visit the Sequence booth can experience some of the leading web3 games built with the platform, including Sunflower Land, Tower Conquest, and Skyweaver	gaming, Web3
If you're thinking about building your own web3 game, you can chat with product experts and learn how Sequence makes building web3 games easy with its smart wallet and all-in-one web3 developer stack. Avalanche's booth is being built to showcase a variety of games building on Avalanche. With over 100 games on the network, it's important to constantly show off new games and studios and to see why they chose Avalanche	Web3
Ava Labs is very excited to be sponsoring 3XP and be a part of building this industry from the ground up. Visit the Immutable Games Booth and be one of the first players to get a hands-on look at two of the hottest new games on Immutable: MetalCore — Fight alongside your factions in an open-world, mechanized combat game that throws players on massive battlefields on a mineral-rich alien planet, and The Bornless — Visit the sinister town of Farmouth and play our immersive Free-to-Play Survival-Royale Horror	
Champions Ascension is an intense, high-stakes combat experience with an ever-expanding open world. With multiple battle modes, mini games, and AI-infused experiences as well as plans for PvE, UGC Gameplay, Champions is poised to take the gaming world by storm	gaming
Attendees will be able to meet the team and hear exclusive announcements right from the 3XP main stage. Wildcard is a web3-enabled PVP collectible card MOBA for gamers, fans and collectors	Web3, gamers
During 3XP, you can visit the Wildcard booth where playtesting slots will be available, or watch the Wildcard streamer showdown on the Esports Arena stage. Parallel is a next gen sci-fi franchise and trading card game that enables ownership of digital assets	
