Content	Keywords
Podcasting Head to Head With Anthony Pompliano | by Peter McCormack | Medium Open in app Sign up Sign in Write Sign up Sign in Podcasting Head to Head With Anthony Pompliano Peter McCormack · Follow 52 min read · Apr 6, 2019 -- Listen Share Audio interview transcription — WBD083 Note: the following is a transcription of my interview with Anthony Pompliano from Morgan Creek Digital. I have reviewed the transcription but if you find any mistakes, please feel free to email me 	mccormack, follow, peter, digital, pompliano, interview, email
You can listen to the original recording here . You can subscribe to the podcast and listen to all episodes here 	podcast
In this episode, I talk with Anthony “Pomp” Pompliano, founder & partner at Morgan Creek Digital. This episode was just a bit of fun where we share our experience and lessons in creating a podcast	podcast, experience, digital, pompliano, pomp
We also discuss marketing, guns and McDonalds. Connect with What Bitcoin Did: Listen: iTunes | Spotify | Stitcher | SoundCloud | YouTube | TuneIn Follow: Website | Email | Blog | Twitter | Medium | Instagram | YouTube Interview Transcription Interview Date: Tuesday 5th March, 2019 “People on Wall Street will spend millions of dollars on things which don’t work	youtube, work, dollars, follow, twitter, things, people, mcdonalds, bitcoin, interview, email
The best way to build an asset management firm today is to build a media company which monetises through asset management.” — Anthony Pompliano *First half of interview is on Anthony’s Podcast, Off The Chain. Link can be found here * Peter McCormack: Tell me about your marketing stuff, I know some of it	podcast, mccormack, company, peter, best, pompliano, asset, stuff, interview
Let’s get to the bottom of the… Anthony Pompliano: So here’s the thing. Peter McCormack: What’s the truth of it? Anthony Pompliano: Wait hold on, let me give you context and then I’m going to tell you	truth, mccormack, peter, pompliano
I have an entire perspective that most people don’t understand that I think is actually doing us all a disservice. I come from building and running growth teams	perspective, people
Our job as those teams is to use data to grow whatever the product is. So if we’re trying to get people to sign up for something, how do we get more people to sign up? If we’re trying to get more people to engage with something? How do you do that? You can break “growth” down into very specific kind of buckets if you will	job, people
So when I was working at Facebook, for example, we need to acquire new users. We need to retain the users that we acquire	facebook, example
Then there’s going to be some sort of churn and then we need to resurrect the users who left and get them to come back. So that would be a formula for; today you’re going to work acquisition, today you’re going to work on retention whatever	work
So I look at Twitter very, very similarly and Twitter is a piece of a funnel for a much larger plan. So, one of the things when we first started thinking about doing Morgan Creek Digital, my whole premise for asset management is the best way to build an asset management firm today is to build a media company that actually monetizes through asset management, which is backwards	twitter, company, things, digital, best, asset
Most asset management firms, what they do is they go raise money, say ‘our job is to invest money’ and then they take that money and they’re like, ‘oh, we probably should let you know what we’re doing’ and the marketing and sales and all that is an afterthought and they spend a lot of money. People on Wall Street will spend millions of dollars to do all kinds of crazy stuff that doesn’t work	work, job, dollars, money, asset, crazy, stuff, people, invest
I’ve always thought about it the other way. It goes back to this idea, I tweeted it the other day and I think I’ve heard other people say it too, so I don’t actually know whoever came up with this sentence, but I didn’t come up with it…	people
‘He who controls the meme controls the message’. So if you think of today’s world, the shareable content, whoever controls the meme controls the message of the narrative	meme, content, world
So Twitter is a huge distribution channel. In 2016, I think I had around 2,000 followers	twitter, followers
My girlfriend had more followers than me, she was a reporter and had more followers than me and she’ll never let me forget that. I remember saying, ‘how the heck do these people build these huge audiences?’ I went and I looked	audiences, girlfriend, people, followers
I searched around and did loads of stuff and what I found was a bunch of people who said, ‘the best way to create an audience is to overly engage with everybody and it’ll bring it back’ Peter McCormack: Talk to them all day long? Anthony Pompliano: Just build a community. So I’m going to do all that stuff and everything and I literally sat for hours	mccormack, hours, peter, best, pompliano, stuff, people
I’ve got a friend and the running joke among all my friends is that this dude’s job is Twitter. It’s basically because every time they are with me, I’m always checking it, I’m doing all the stuff and everything	time, job, twitter, stuff
When they stopped joking around and giving me a hard time and they start getting serious, they’re like, ‘look what you’ve built took hours a day, every day for multiple years at this point’. What was I doing in the beginning? I would literally go and I would go follow people	time, hours, follow, built, people, point
Every morning I’d wake up and I’d go follow like 600 people and then I would go through and I would like three or four of their tweets and then I would respond to two or three of them. Why would I go do that? So let’s say that you’re one of those people, all of a sudden you see your notifications, you see that somebody liked your content, they engaged with it and they followed you	follow, morning, people, content
What do you do? The first thing you do is you go back and you look who the hell is this person? That is top of the funnel acquisition for eyeballs. Now where I think that the thought process of the divergence of all of this stuff about bots and content and following all this stuff is, I believe that people when they get to that page and they look at that content, they will say, do I think this person is interesting? Do I think this content is interesting? Do I want to see more of it? If they think that one, two, three of those things are true, they’ll follow you and they’ll engage with your content	person, follow, things, stuff, people, content
If they don’t, they’ll just be like, ‘who’s this weirdo?’ And they just won’t follow back. Now there’s a second kind of component to it, which is if they come back and they follow you, engage with your content, they also may at some point in the future be like, ‘you’re an idiot’ and they don’t stay around	component, follow, content, point
So what I focus on is net new followers or net new engagement. So if you think of like a chart, if I get 10 people to follow m today and then 12 leave tomorrow, I’ll actually lose followers over time because it’s a net negative of two	time, follow, people, followers
But if I can get 10 people to engage and follow today and four of them leave in the future, that’s net new six. So if you look at my Twitter account specifically, pretty large numbers in terms of the number of people, but the engagement is off the charts compared to people who have millions of followers	follow, twitter, people, followers
I will get much more engagement than some of these people that have millions of followers and the reason is the authenticity, the engagement. They know if they tweet at me, I’m going to tweet back, I’m going to engage with their content, I’m going to respond, I’m going to own mistakes, I make all this stuff	stuff, people, content, followers, authenticity
So the part that I think is funny is that you’ll only have to do that for so long. Once you get the flywheel going, you don’t have to do that	funny
I no longer have to go and seek people out to follow them, like their content, engage with their content, now there’s the community and you may join the community, may leave the community whatever. But that one person isn’t as important as it was when I had 2,000 people	person, important, follow, people, content
So like that sounds very, ‘oh this is a machine, you were very intentional all this stuff’, I did because I enjoyed it. I thought it was going to be important in the long game	machine, important, stuff
You don’t back into accidentally having 190,000 followers by… I woke up this morning and just sent some random tweet and now it went viral, now I got 190,000 followers. It takes time	time, morning, followers
It takes effort all that stuff. Peter McCormack: So the follow/unfollow thing never bothered me	mccormack, follow, peter, stuff
I’ve not done it, but it doesn’t bother me because I’m like, I don’t think people understand, this is a free marketing tool. You’ve just got an opportunity	people
See we have a real problem when people hate marketing and they want to hate you making money. It’s one of the reasons I did the whole transparency thing because I’m going to say that this is how it works	money, people
This is why I’m doing it. I started at zero	zero
Anthony Pompliano: That’s what I love, that you’re like, ‘I started at zero and I built this and you guys have been with me the whole time’. Peter McCormack: I started at zero followers, zero listeners, zero income, everything! Every single metric started at zero and this is the journey to what I’ve done	time, mccormack, built, peter, pompliano, followers, zero, love
But there are different tactics in there that work and one of them… To say I’ve not done follow/unfollow, but I’ve certainly followed people and tried to engage with them and get a conversation going because of I either want them on the podcast or I want to create that engagement. I get why some people might have a problem with it	podcast, work, follow, people
I always say, is that person net negative or net positive? Anthony Pompliano: You’re being way too kind to me. I’m even more ruthless myself	person, pompliano
Here’s what I say. I actually would be upset if people didn’t get mad about it	people
But what I argue is, if you are upset about that, that is a tool that is provided to engage with people, to like their content, to follow them, to do all these things. You do not have to participate	follow, things, people, content
The market in some vein or view will decide whether this content is valuable or not. So part of what I really focus on is if I had put in…	content
At this point, we’re going on literally almost three years of doing this. So people ask me all the time… Here’s a great anecdote for you	time, people, point, great
when Chris Burniske was doing all this crazy, I don’t even know where this came from. Like I’ve actually never even talked to the guy before	crazy
Peter McCormack: Oh you had a little shindig didn’t you? Anthony Pompliano: Oh he was going crazy because he accused me of when I tweeted about Kroger, he got so much engagement that he was like, ‘that engagement is fake’. I was like, look, you can accuse me a lot of things and I’ll own up to pretty much everything, but you can’t claim that these people are fake, because then, of course, everyone’s like, ‘oh, I’m not a bot’, they’re all tweeting it	mccormack, things, peter, pompliano, crazy, people
But what was funny out of this was you would be shocked at who and how many people that are well known in this industry we’re immediately in my DMs saying, ‘teach me how to do this’. It’s kind of like when the podcast starts to be successful, everyone was like, ‘hey, I want to start a podcast!’ Peter McCormack: Right! As soon as you put out $30,000 a month, people want to know how to do it! Anthony Pompliano: Oh my God and here’s what I told every single one of them	podcast, mccormack, industry, funny, peter, pompliano, people
I said, ‘look, I can tell you exactly what to do. But the thing that is going to be the big question is whether you’re willing to put in the work to actually create this’	work
Peter McCormack: Look what I just wrote down…. Hard work and if you want to start podcasts, so literally the next things I was going to say was how hard you work	work, mccormack, podcasts, next, things, peter
I was chatting to the guy from Blockworks last night, saying ‘I’ll get an email from Pomp at half 4 in the morning!’ So how hard are you working? I know how hard I’m working. How hard are you working? Anthony Pompliano: Look, hard work to me is always a sensitive subject because when I was younger I was in the army, I played football in college, like American football….	work, college, morning, pompliano, football, pomp, email
Peter McCormack: No, I’m totally into it now! Anthony Pompliano: Well the thing is that that culture of both of those communities is you don’t need sleep. Literally, time is a proxy for how hard you’re working and you can literally spend more time doing something that somebody else and therefore you outwork them and therefore you should be more successful	time, mccormack, peter, pompliano
That is pretty core beliefs in both of those communities. As I’ve gotten older, I’ve actually spent more time understanding and thinking about the benefits of sleep	time
So that’s one thing, which is the number of hours I sleep today is actually much more than I used to. I used to literally operate off like four or five hours of sleep	hours, operate
When I first met my girlfriend actually, she said something to me about like, ‘why aren’t you sleeping?’ I think I was like, ‘oh, wolves don’t sleep’, just being an asshole! Like I’m just giving her a hard time, whatever. But that was genuinely the mentality	time, girlfriend
Now I’m like, ‘oh man, I can feel the difference between six hours, eight hours’ and ‘how do I get to sleep?’ But the difference is that I’ve tried to become more efficient with my time. The problem becomes that there’s still all the work that needs to get done	time, work, hours
So what I’ve done is tried to design my life. I wake up at 4.30/4.45 every morning, not because of any other reason, than I know between that time and 8:00 AM, nobody else is up! No one’s bothering me	life, time, morning
Peter McCormack: Exactly! It’s when you get the most work done. Anthony Pompliano: I work out, I write, I do all these things that I know if I don’t get them done in that period, I’ve basically got, let’s call it three, three and a half hours	work, mccormack, hours, things, peter, pompliano
If I don’t get the stuff done in that three, three and a half hours, it’s not getting done today. Peter McCormack: So what do you say the magic sauce is if somebody wanted to launch a podcast	podcast, mccormack, hours, peter, stuff
What are the things they have to absolutely nail? Anthony Pompliano: We may disagree on this section. I’d love to hear your opinion	things, pompliano, love
I think just start. Peter McCormack: Well, yeah, that’s what I always say, that’s like my first thing	mccormack, peter
Just start. But once you’ve started… Anthony Pompliano: But this is important	important, pompliano
So, there’s somebody, I won’t name them because I don’t know if they’d be comfortable with me naming them, but they called me one day and they said, ‘hey, it looks like you try a lot of different things and they tend to work. I’m really interested in, how do you start something and get it going’	work, things
I said to them, first of all, that’s misleading because you actually don’t ever see the things that I started or tried and didn’t work. So you’re selection bias	work, things
But to what I said, the reason why it looks that way is because too many people want to do something and they spend time planning and there’s plenty of things that you should plan. You should probably plan if you’re going to start a company, a lot of things around that! But a podcast is a perfect example	podcast, time, company, things, people, example
The best thing that you could do is literally go and just say to yourself, ‘I’m starting today’ and you can do that and it’s going to suck! The first one you’re probably embarrassed by. I actually want to take down some of my first ones	best
Peter McCormack: You can’t do that! Anthony Pompliano: I have not taken them down, but I’ve wanted to because I’ve just said things I wouldn’t have said. I’ve learned things	mccormack, things, peter, pompliano
You know it’s just better now. If I didn’t start then I would’ve have always said, ‘oh, I’ll do it tomorrow	better
I’ll do it next week. I’ll do it, whatever’	next, week
So I think that mental switch of today’s the day, if you do it that day, you have an 80% more likely chance to actually having a podcast. Peter McCormack: You are totally right	podcast, mccormack, peter
I told you about it before. I was in LA and I thought, ‘I think I’m going to do a podcast’	podcast, la
I messaged Rich. He told me the equipment I needed	messaged
I contacted Luke. I said, ‘Luke, I’m in LA	la
You’re here. I want to do a podcast	podcast
Do you want to do an interview?’ He said yes, I ordered the stuff off Amazon. Three days later I was recording and then I was committed	stuff, interview
I fucked up early on though. So I did my second interview and then I didn’t do one for like three weeks and then I was like, ‘no, I can’t do this’	interview
Anthony Pompliano: You felt yourself going to not doing that stuff and pulled yourself back? Peter McCormack: Then I was like, ‘I’m never gonna miss a show’ and I’ve never missed a show. I did one after the Mt	mccormack, peter, pompliano, stuff
