Content	Keywords
Anthony Pompliano Launches a Bitcoin-Themed Pizza Service - Markets Insider Menu icon A vertical stack of three evenly spaced horizontal lines. Business Insider logo Markets Insider logo Search markets Search icon A magnifying glass	pompliano, bitcoin, search, business, insider
It indicates, "Click to perform a search". My Watchlist Markets Stocks Indices Commodities Cryptocurrencies Currencies ETFs News Calendar icon An icon in the shape of a calendar	cryptocurrencies, search
Economic Earnings Search markets Search icon A magnifying glass. It indicates, "Click to perform a search"	search
Search icon A magnifying glass. It indicates, "Click to perform a search"	search
Markets Insider logo Close icon Two crossed lines that form an 'X'. It indicates a way to close an interaction, or dismiss a notification	x, insider
Markets Bonds Funds Pre-Market Market Movers Dow Jones Live Your Portfolio Stocks Stocks Finder Market Movers Index Constituents Earnings Calendar Dividends Indices Market Movers Index Constituents Dow Jones Live S&P 500 Live Nasdaq Live World Map Commodities News Commodities Live Gold Oil Copper Cryptocurrencies Bitcoin Ethereum Cryptocurrencies Live Currencies News Currencies Live Currency Converter EUR/USD GBP/USD US Dollar Index ETFs News ETF Finder ETF Issuers News My Watchlist My Watchlist Facebook Icon The letter F. Twitter icon A stylized bird with an open mouth, tweeting	facebook, twitter, cryptocurrencies, bitcoin, ethereum
LinkedIn icon YouTube icon A play button in the shape of a television screen. Instagram icon A stylized camera	youtube
Business Insider logo © 2024 Insider Inc. and finanzen.net GmbH (Imprint)	business, insider
All rights reserved. Registration on or use of this site constitutes acceptance of our Terms of Service and Privacy Policy	reserved
Disclaimer Accessibility Commerce Policy Advertising Policies Stock quotes by finanzen.net Close icon Two crossed lines that form an 'X'. It indicates a way to close an interaction, or dismiss a notification	x
News Chevron icon It indicates an expandable section or menu, or sometimes previous / next navigation options. currencies Crypto investor Anthony Pompliano launches a bitcoin-themed pizza service in the US that won't accept the digital asset as payment Shalini Nagarajan 2021-05-19T10:29:30Z Shalini Nagarajan Share icon An curved arrow pointing right	crypto, digital, pompliano, asset, bitcoin
Share Facebook Icon The letter F. Facebook Email icon An envelope	facebook, email
It indicates the ability to send an email. Email Twitter icon A stylized bird with an open mouth, tweeting	twitter, email
Twitter Link icon An image of a chain link. It symobilizes a website link url	twitter
Copy Link Save Article Icon A bookmark Save Read in app Anthony Pompliano/YouTube Anthony Pompliano announced a "Bitcoin Pizza" service that will deliver pies from May 22 to 29. It will partner with independent pizzerias in 10 cities across the US, but won't accept bitcoin payments	youtube, pompliano, bitcoin
All proceeds will go towards supporting research and development of bitcoin, Pompliano said. Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily	research, pompliano, tech, bitcoin, business
Read preview Thanks for signing up! Go to newsletter preferences Thanks for signing up! Access your favorite topics in a personalized feed while you're on the go. download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy 	email
You can opt-out at any time by visiting our Preferences page or by clicking "unsubscribe" at the bottom of the email. Advertisement Anthony Pompliano, a popular investor within the cryptocurrency community, on Wednesday announced the launch of his "Bitcoin Pizza" brand that is aimed at supporting the development of the digital asset	cryptocurrency, digital, pompliano, asset, bitcoin, email
All proceeds generated from pizza sales will go to the Human Rights Foundation's fund that supports bitcoin developers . Pompliano's pizza brand will begin delivery services on May 22, the 11-year anniversary of "Bitcoin Pizza Day," until May 29	fund, pompliano, bitcoin
The story goes that 11 years ago, Laszlo Hanyecz purchased two Domino's pizzas with 10,000 bitcoins. Those would be worth $401 million as of Wednesday	purchased
He became famous as the first person to carry out a commercial transaction using cryptocurrency. Since then, the day Hanyecz put up a "pizza for bitcoins?" post on an online forum has been known as "Bitcoin Pizza Day" in crypto circles	cryptocurrency, crypto, bitcoin
Advertisement Bitcoin Pizza Read More: How Bank of America is 'demystifying' sustainable investments for its $3.5 trillion client base, according to its top ESG strategist Pompliano tweeted : "Just as bitcoin is working to disrupt the incumbent banks, Bitcoin Pizza will be working to disrupt the incumbent corporate pizza chains." His service will partner with independent outlets in Seattle, San Francisco, Chicago, Boston, New York City, Washington DC, Austin, Houston, and Miami. The menu offers five different bitcoin-themed options including "Laser Eyes" and a pineapple-and-ham variety called "Satoshi's Favorite." Ironically, the brand won't be accepting bitcoin as payment	pompliano, bitcoin
Advertisement Pompliano tweeted a statement that said: "We don't want people giving up their bitcoin for pizza, but rather we are working to raise money in the form of depreciating fiat dollars to help fund bitcoin development." Perhaps the decision is designed to stop investors feeling guilty about spending their bitcoin commercially like Hanyecz did 11 years ago, rather than using it as a store of value. "Do you really think Pomp would make someone part w/ their #Bitcoin?," hedge fund manager Anthony Scaramucci said in a tweet 	fund, money, pompliano, bitcoin, pomp
"Look how that turned out for the last guy." Bitcoin was last trading 9% lower at $40,454 on Wednesday, and is up 40% so far this year. Check out Business Insider's picks for best cryptocurrency exchanges Read next MI Exclusive Bitcoin Anthony Pompliano More..	cryptocurrency, pompliano, bitcoin, business, insider
Advertisement Close icon Two crossed lines that form an 'X'. It indicates a way to close an interaction, or dismiss a notification	x
